"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2020-03-29 08:45:00,994.50,58.0,25.9,29,2,180,,,,,,
2020-03-29 08:55:00,994.40,58.0,25.9,29,3,180,,,,,,
2020-03-29 09:15:00,994.30,59.0,26.8,28,2,180,,,,,,
2020-03-29 09:26:00,994.20,59.0,25.9,28,0,42,,,,,,
2020-03-29 09:45:00,994.00,60.0,22.1,22,3,180,,,,,,
2020-03-29 09:55:00,993.80,60.0,21.1,21,4,180,,,,,,
2020-03-29 10:15:00,993.50,61.0,19.6,19,3,187,,,,,,
2020-03-29 10:25:00,993.50,61.0,19.6,19,6,180,,,,,,
2020-03-29 10:45:00,993.30,61.0,19.6,19,4,180,,,,,,
2020-03-29 10:55:00,993.20,62.0,19.3,19,6,180,,,,,,
2020-03-29 11:15:00,992.90,62.0,19.3,19,6,180,,,,,,
2020-03-29 11:25:00,992.80,64.0,24.4,22,3,193,,,,,,
2020-03-29 11:45:00,992.50,64.0,25.5,22,3,175,,,,,,
2020-03-29 11:55:00,992.40,65.0,26.3,22,2,169,,,,,,
2020-03-29 12:15:00,992.10,65.0,26.3,22,3,178,,,,,,
2020-03-29 12:25:00,992.10,66.0,27.1,22,2,180,,,,,,
2020-03-29 12:45:00,991.80,65.0,26.3,22,1,183,,,,,,
2020-03-29 12:55:00,991.70,66.0,27.1,22,3,186,,,,,,
2020-03-29 13:15:00,991.50,66.0,27.1,22,4,180,,,,,,
2020-03-29 13:26:00,991.50,64.0,23.3,21,4,180,,,,,,
2020-03-29 13:35:00,991.40,64.0,23.3,21,1,180,,,,,,
2020-03-29 13:55:00,991.20,64.0,24.4,22,3,180,,,,,,
2020-03-29 14:15:00,991.00,62.0,19.3,19,3,180,,,,,,
2020-03-29 14:25:00,990.90,62.0,19.3,19,1,180,,,,,,
2020-03-29 14:45:00,990.80,62.0,20.5,20,3,180,,,,,,
2020-03-29 14:55:00,990.70,61.0,19.6,19,1,180,,,,,,
2020-03-29 15:15:00,990.60,61.0,20.8,20,0,180,,,,,,
2020-03-29 15:25:00,990.50,61.0,20.8,20,0,180,,,,,,
2020-03-29 15:35:00,990.50,61.0,22.9,22,0,,,,,,,
2020-03-29 15:55:00,990.40,60.0,23.1,23,0,180,,,,,,
2020-03-29 16:15:00,990.50,60.0,24.1,24,0,,,,,,,
2020-03-29 16:25:00,990.50,60.0,24.1,24,0,180,,,,,,
2020-03-29 16:45:00,990.40,59.0,23.2,24,0,180,,,,,,
2020-03-29 16:55:00,990.40,59.0,23.2,24,0,180,,,,,,
2020-03-29 17:15:00,990.40,59.0,23.2,24,1,180,,,,,,
