"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2020-03-29 08:45:00,1016.00,40.0,23.8,51,0,26,1015.80,39.3,25.5,57,,247
2020-03-29 08:51:00,1016.00,40.0,23.8,51,0,0,1015.80,39.3,25.5,57,,219
2020-03-29 08:55:00,1016.10,40.0,24.3,53,0,107,1015.80,39.3,25.5,57,,249
2020-03-29 09:00:00,1016.00,40.0,24.3,53,0,129,,,,,,
2020-03-29 09:15:00,1016.00,40.0,24.3,53,0,64,,,,,,
2020-03-29 09:30:00,1016.00,40.0,24.7,53,0,355,,,,,,
2020-03-29 09:40:00,1016.00,41.0,26.1,55,0,0,1015.66,39.6,25.8,57,,222
2020-03-29 09:45:00,1015.90,41.0,26.1,55,0,83,1015.66,39.6,25.8,57,,247
2020-03-29 09:50:00,1015.80,41.0,26.1,55,0,0,1015.66,39.6,25.8,57,,218
2020-03-29 09:55:00,1015.80,41.0,26.5,55,0,0,1015.66,39.6,25.8,57,,218
2020-03-29 10:00:00,1015.60,41.0,26.5,55,0,113,,,,,,
2020-03-29 10:16:00,1016.00,41.0,26.5,55,0,101,,,,,,
2020-03-29 10:30:00,1015.70,41.0,26.5,55,0,47,,,,,,
2020-03-29 10:40:00,1015.70,41.0,26.9,57,0,70,1015.20,40.0,27.6,60,,250
2020-03-29 10:45:00,1015.90,41.0,26.9,57,0,94,,,,,,
2020-03-29 10:46:00,1016.00,41.0,26.9,57,0,94,1015.20,40.0,27.6,60,,248
2020-03-29 10:50:00,1015.90,41.0,26.9,57,0,0,1015.20,40.0,27.6,60,,220
2020-03-29 10:55:00,1015.40,41.0,27.4,58,0,148,1015.39,40.0,27.6,60,,249
2020-03-29 11:00:00,1015.40,41.0,26.9,57,0,355,,,,,,
2020-03-29 11:15:00,1015.50,41.0,26.9,57,0,53,,,,,,
2020-03-29 11:30:00,1015.50,41.0,26.5,55,0,98,,,,,,
2020-03-29 11:40:00,1015.20,41.0,26.9,57,0,115,1014.77,39.9,29.1,64,,250
2020-03-29 11:45:00,1015.00,41.0,27.8,58,0,79,1014.77,39.9,29.1,64,,249
2020-03-29 11:50:00,1015.00,41.0,28.2,59,0,79,1013.51,39.9,29.1,64,,249
2020-03-29 11:55:00,1014.90,40.0,28.1,62,0,86,1013.51,39.9,29.1,64,,249
2020-03-29 12:00:00,1014.90,40.0,28.4,63,1,56,,,,,,
2020-03-29 12:15:00,1015.00,40.0,30.3,67,0,112,,,,,,
2020-03-29 12:30:00,1014.50,39.0,30.8,71,0,232,,,,,,
2020-03-29 12:40:00,1014.50,39.0,31.4,74,0,5,1014.16,37.9,32.6,81,,250
