"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2020-03-29 08:40:00,1018.30,52.0,48.6,87,0,0,1019.77,51.7,47.8,86,,231
2020-03-29 08:45:00,1018.30,52.0,48.6,87,0,0,1019.77,51.7,47.8,86,,231
2020-03-29 08:50:00,1018.20,52.0,48.6,87,0,0,1019.77,51.7,47.8,86,,230
2020-03-29 08:55:00,1018.20,52.0,48.6,87,0,0,1019.77,51.7,47.8,86,,230
2020-03-29 09:00:00,1018.30,52.0,48.6,88,0,0,,,,,,
2020-03-29 09:10:00,1018.20,52.0,48.6,88,0,0,,,,,,
2020-03-29 09:30:00,1018.00,52.0,48.6,88,0,0,,,,,,
2020-03-29 09:40:00,1018.00,52.0,48.6,87,0,0,1019.58,51.7,47.9,86,,231
2020-03-29 09:45:00,1017.90,52.0,48.6,87,0,0,1019.58,51.7,47.9,86,,231
2020-03-29 09:50:00,1017.90,52.0,48.2,86,0,0,1019.58,51.7,47.9,86,,230
2020-03-29 09:55:00,1017.80,52.0,48.2,86,0,0,1019.58,51.7,47.9,86,,230
2020-03-29 10:00:00,1017.80,52.0,48.2,86,0,126,,,,,,
2020-03-29 10:15:00,1017.70,52.0,48.2,86,0,0,,,,,,
2020-03-29 10:30:00,1017.50,52.0,48.2,86,0,132,,,,,,
2020-03-29 10:40:00,1017.50,52.0,48.2,86,0,0,1019.06,51.6,47.9,87,,232
2020-03-29 10:45:00,1017.40,52.0,48.2,86,0,0,1019.06,51.6,47.9,87,,231
2020-03-29 10:50:00,1017.40,52.0,48.2,86,0,0,1019.06,51.6,47.9,87,,230
2020-03-29 10:55:00,1017.40,52.0,48.2,86,0,0,1019.06,51.6,47.8,86,,230
